都道府県,市町村,撮影場所,撮影日時,,緯度,経度,"夜空の明るさ
（等級（mag/□”）",ばらつき,周辺状況,継続観察登録地点,備考
香川県,高松市,,8月4日 8:54 PM,,34.30416667,133.9913889,18.7,0.2,,,
香川県,高松市,,8月4日 9:02 PM,,34.29972222,133.9972222,18.6,0.2,,,
香川県,高松市,,8月4日 9:06 PM,,34.35972222,134.1047222,18.7,0.2,,,
香川県,高松市,,8月4日 9:12 PM,,34.28583333,133.9891667,19.5,0.1,,,
香川県,高松市,,8月4日 9:24 PM,,34.30916667,133.9822222,18.6,0.1,,,
香川県,高松市,,8月4日 9:24 PM,,34.34611111,133.9566667,19.3,0.1,,,
香川県,高松市,,8月4日 9:31 PM,,34.31055556,133.9902778,18.7,0.2,,,
香川県,高松市,,8月4日 9:39 PM,,34.38055556,134.1233333,18.1,0.4,,,一部雲に覆われている
香川県,高松市,,8月4日 9:45 PM,,34.38416667,134.1258333,18.7,0.2,,,一部雲に覆われている
香川県,高松市,,8月4日 9:49 PM,,34.3725,133.9430556,19.4,0.1,,,
香川県,高松市,,8月4日 9:58 PM,,34.27,134.0294444,18.4,0.1,,,
香川県,高松市,,8月5日 10:03 PM,,34.22055556,134.0163889,18.1,0.5,,,薄雲あり
香川県,高松市,,8月7日 9:05 PM,,34.35472222,134.1322222,19.6,0.1,,,
香川県,高松市,,8月7日 9:49 PM,,34.27,134.0294444,18.8,0.1,,,
香川県,高松市,,8月7日 10:45 PM,,34.32194444,134.0427778,18.8,0.1,,,
香川県,高松市,,8月8日 9:11 PM,,34.32166667,134.0427778,18.2,0.1,,,
香川県,高松市,,8月11日 8:49 PM,,34.27027778,134.0283333,18.9,0.1,,,薄雲あり
香川県,高松市,,8月11日 9:10 PM,,34.27027778,134.0283333,17.8,0.2,,,一部雲に覆われている
香川県,高松市,,8月11日 9:38 PM,,34.27027778,134.0280556,18.4,0.1,,,薄雲あり
香川県,高松市,,8月11日 9:40 PM,,34.24222222,134.1044444,19,0.4,,,薄雲あり
香川県,高松市,,8月11日 10:06 PM,,34.24111111,134.0344444,18.5,0.4,,,一部雲に覆われている
香川県,高松市,,8月11日 10:16 PM,,34.24222222,134.0072222,18.5,0.4,,,
香川県,高松市,,8月11日 10:33 PM,,34.27138889,134.0458333,19,0.3,,,
愛媛県,久万高原町,,8月6日 10:59 PM,,33.67611111,132.9405556,21.4,0.1,,,
福岡県,北九州市,,8月13日 3:05 AM,,33.94277778,131.0216667,19.9,0.3,,,観察時間外，カメラ設定が異なる
福岡県,福岡市,福岡県福岡市中央区草香江,8月13日 10:38 PM,,33.58,130.3719444,17.7,0.2,住宅地域,○,薄雲あり
福岡県,八女市,星のふるさと公園 星降る広場,8月15日 9:52 PM,,33.24361111,130.76,20.5,0.1,森林山間地,○,
熊本県,熊本市,熊本県熊本市,8月2日 10:19 PM,,32.82444444,130.6825,19.2,0.2,住宅地域,○,
熊本県,熊本市,,8月8日 9:06 PM,,32.83111111,130.7341667,18.6,0.2,,,薄雲あり
熊本県,天草市,,8月10日 10:02 PM,,32.42805556,130.3266667,19.2,0.1,,,
熊本県,南阿蘇村,,8月10日 9:58 PM,,32.89138889,131.0263889,19.9,0.1,,,
宮崎県,都城市,,8月7日 10:23 PM,,31.88027778,131.0694444,20.7,0.2,,,
鹿児島県,姶良市,鹿児島県姶良市平松(姶良駅近く),8月8日 8:30 PM,,31.71444444,130.6236111,18.5,0.3,住宅地域,○,
沖縄県,石垣市,,8月4日 10:01 PM,,24.48722222,124.275,21.6,0.1,,,
沖縄県,名護市,,8月14日 4:32 AM,,26.55638889,128.0433333,21,0.2,,,観察時間外，薄雲あり
沖縄県,名護市,,8月14日 4:37 AM,,26.55638889,128.0433333,20.9,0.1,,,観察時間外
沖縄県,竹富町,沖縄県八重山郡竹富町,8月3日 9:24 PM,,24.04972222,123.7975,22.1,0.1,その他,○,
